Transaction ID,Timestamp,Customer ID,Merchant ID,Transaction Amount ($),Location,Transaction Type,Is Fraud?
T0b5dd0ccbe,2025-01-01 09:04:00,C1563,M46e90,311.49,"Portland, OR",Card Present,0
Tc27656166c,2025-01-28 10:19:00,C1150,M701cc,552.13,"Denver, CO",ATM Withdrawal,0
Tc3b1c16ab5,2025-01-15 09:45:00,C1693,M0af54,447.45,"Chicago, IL",Online,0
T599e056bfd,2025-01-25 09:10:00,C1872,M73789,518.7,"San Jose, CA",Card Present,0
T80fa0677a7,2025-01-15 10:39:00,C1591,M4540f,544.31,"Dallas, TX",ATM Withdrawal,0
Tac622ce6e2,2025-01-08 09:11:00,C1938,M379ef,637.06,"Austin, TX",Card Present,0
Td8c768083c,2025-01-03 09:15:00,C1911,M085d6,103.61,"Fort Worth, TX",Online,0
T51dc84aaff,2025-01-16 10:36:00,C1699,M782bf,369.26,"San Antonio, TX",Card Present,0
T2338fcc2fa,2025-01-20 09:04:00,C1835,M4b2ef,1903.11,"Memphis, TN",Online,1
T4815a68ce4,2025-01-08 09:01:00,C1897,M3be91,2808.29,"Portland, OR",Online,1
T244e9253f9,2025-01-09 10:05:00,C1046,M1b340,761.1,"Las Vegas, NV",ATM Withdrawal,0
T8353aea857,2025-01-22 10:14:00,C2092,Ma8b03,134.32,"Miami, FL",ATM Withdrawal,0
Tae181d71c6,2025-01-17 10:12:00,C1743,M09399,329.56,"Philadelphia, PA",Card Present,0
T5a994fc9a9,2025-01-30 10:28:00,C1116,M896c5,544.43,"Milwaukee, WI",Online,0
T96dec86a1f,2025-01-19 09:54:00,C1124,M57517,422.46,"Raleigh, NC",ATM Withdrawal,0
Td2b1e80c79,2025-01-21 10:12:00,C1312,M29e51,171.36,"Las Vegas, NV",Card Present,0
T30cea1013c,2025-01-19 10:21:00,C2052,Mbf5a5,707.6,"Austin, TX",Card Present,0
Tb177e1adda,2025-01-10 10:31:00,C1823,M867d1,374.37,"Portland, OR",ATM Withdrawal,0
Tddc1a5d4d4,2025-01-19 09:49:00,C1513,M70ca5,738.92,"Phoenix, AZ",ATM Withdrawal,0
T0a5e80acb9,2025-01-21 10:22:00,C1382,M41bf0,368.43,"Oklahoma City, OK",Card Present,0
T8b8d0c831a,2025-01-16 10:09:00,C1422,M344e7,476.75,"Oklahoma City, OK",ATM Withdrawal,0
T0c55052882,2025-01-29 09:08:00,C1330,M7c814,592.52,"Omaha, NE",Online,0
T0002f507cd,2025-01-21 09:04:00,C1935,Mde771,362.87,"Fort Worth, TX",ATM Withdrawal,0
T8b19f495eb,2025-01-09 09:15:00,C1110,Ma64c3,493.0,"San Jose, CA",Online,0
Tc4cad82ed4,2025-01-06 09:08:00,C1787,M11170,827.35,"Nashville, TN",Online,0
T7f4ecd5cba,2025-01-16 10:10:00,C1995,M0b573,519.43,"Chicago, IL",ATM Withdrawal,0
Tdf49734973,2025-01-30 09:57:00,C1952,Mf1048,312.68,"Chicago, IL",Online,0
T4cb9b97f91,2025-01-02 09:14:00,C1379,M8d0a4,592.64,"New York, NY",Online,0
